proc_id,proc_name,proc_category
VDB0231,Feeding jejunostomy,Others
VDB0232,Gastrostomy,Stomach
VDB0233,Central pancreatectomy,Biliary/Pancreas
VDB0234,Pyeloplasty,Minor resection
VDB0235,Partial cystectomy,Major resection
VDB0236,Arteriovenous graft,Vascular
VDB0237,Rigid bronchoscopic excision,Others
VDB0238,Bleeding control,Vascular
VDB0239,Bile duct anastomosis,Biliary/Pancreas
VDB0240,Removal of foreign body,Others
VDB0241,Femoro-femoral bypass,Vascular
VDB0242,Vessel graft,Vascular
VDB0243,Radical trachelectomy,Major resection
VDB0244,Insertion of permanent catheter,Vascular
VDB0245,Enucleation of esophageal tumor,Others
VDB0246,Cervical esophagostomy,Others
VDB0247,Thyroglossal duct cyst excision,Others
VDB0248,Orchiectomy,Minor resection
VDB0249,Closure of bronchopleural fistula,Others
VDB0250,Fundoplication,Stomach
VDB0251,Pancreas transplantation,Transplantation
VDB0252,Hepatopancreaticoduodenectomy,Biliary/Pancreas
VDB0253,Pancreatic cystojejunostomy,Biliary/Pancreas
VDB0254,Orchiectomy,Colorectal
VDB0255,Rrectocele repair,Colorectal
VDB0256,Total hysterectomy,Colorectal
VDB0257,Rigid bronchoscopy,Others
VDB0258,Transposition of basilic vein for arteriovenous fistula,Vascular
VDB0259,Ampullectomy,Biliary/Pancreas
VDB0260,Pelvic tumorectomy,Others
VDB0261,Aortofemoral bypass,Vascular
VDB0262,Pancreaticojejunostomy,Biliary/Pancreas
VDB0263,Thoracoplasty,Others
VDB0264,Biopsy,Breast
VDB0265,Varicocelectomy,Colorectal
VDB0266,Resection of lower limb artery,Vascular
VDB0267,Incision and drainage,Vascular
VDB0268,Diagnostic procedure,Minor resection
VDB0269,Excision,Major resection
VDB0270,anterior resection,Colorectal
VDB0271,Resection of intestine,Stomach
VDB0272,Sphincterotomy,Colorectal
VDB0273,Thyroidectomy,Thyroid
