"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Liposarcoma","Ileostomy","Colorectal","Open","Supine","1","Colorectal","76.5","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Ulcerative colitis","Ileostomy repair","Colorectal","Open","Supine","1","Colorectal","71.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Marginal zone B-cell lymphoma","Biopsy","Minor resection","Videoscopic","Left lateral decubitus","1","BiopsyBrain","64.9","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Rectovaginal fistula","Fistulectomy","Colorectal","Open","Lithotomy","1","Colorectal","66.9","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"End stage renal disease","Removal of continuous ambulatory peritoneal dialysis catheter","Vascular","Open","Supine","1","Vascular","63.8","Minor","Vascular","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Mycotic aneurysm","Aortoiliac bypass","Vascular","Open","Supine","1","Vascular","55.6","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Leiomyosarcoma","Exploratory laparotomy","Others","Open","Supine","1","Others","78.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Metastatic cancer to the bone","Diagnostic pelviscopy","Minor resection","Videoscopic","Lithotomy","1","Minor resection","69.4","Minor","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Hepatocellular carcinoma","Hernia repair","Colorectal","Open","Supine","1","Colorectal","65.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Nontuberculous mycobacterial infection","Debridement of wound","Others","Open","Right lateral decubitus","1","Others","65.6","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
